tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,L,L_logistic_smoke,FB--GVI,594425521,0,0.0,18.33747868142607,4.860157444134774,nan,1.3251778106207432,2.12530410314097,4.723168550586812,1.0,1.0,1.3126074090387243,5.712812086755255,56.107695931653616,70.45091343180643,0.00043211999582126737,,nan,nan,nan,nan,0.6931959579744933,0.57,0.25002438870578114,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.0
smoke,L,L_logistic_smoke,FB--GVI,594425521,1,0.03,16.44287615853659,2.9655549212452925,nan,0.8557527529222806,1.6789340604064877,3.0987749187474036,0.7151170261922142,0.981293844977735,1.2880443628233447,4.085358397675004,26.51883344772672,47.265745012945146,0.0024021199787966907,,nan,nan,nan,nan,0.7171935501789712,0.66,0.26198857633861133,1,1,1,1,1,0,1,1,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,2,0.03,15.20319801634062,1.7258767790493241,nan,0.5624212904537031,1.3286030583204478,1.9482735055165348,0.5129108506394227,0.9635395560082954,1.2647316729054856,2.930203821791458,11.695182932066208,29.04133599439075,0.004056930018123239,,nan,nan,nan,nan,0.7426613280589498,0.66,0.2744821390178452,2,2,2,2,2,0,2,2,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,3,0.03,14.46080461057807,0.9834833732867736,nan,0.3878931734745876,1.0644753244736258,1.1837204935846384,0.3778328221740267,0.9468957960613591,1.2428746357238651,2.1585361963504894,5.032349213056964,16.466142232097518,0.00567418901482597,,nan,nan,nan,nan,0.7669203066879201,0.66,0.286046316173137,3,3,3,3,3,0,3,3,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,4,0.03,14.04870189875211,0.5713806614608146,nan,0.28622424435458566,0.8711408903843786,0.7054710692528374,0.29221206295817054,0.9314891061760933,1.2226286144680212,1.669422086260075,2.2571354724918593,8.8501655453218,0.007285028987098485,,nan,nan,nan,nan,0.7879551803807137,0.66,0.2957302553683029,4,4,4,4,4,0,4,4,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,5,0.03,13.829485952615537,0.3521647153242409,nan,0.22568571835659876,0.7313431436925106,0.4224494039887513,0.23977268749504627,0.917358664915678,1.2039952014249333,1.3699316919730615,1.124309628619161,4.685526512893235,0.008881119021680206,,nan,nan,nan,nan,0.8049955375465215,0.66,0.3033082484699129,5,5,5,5,5,0,5,5,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,6,0.03,13.712927006937951,0.23560576964665536,nan,0.18736745745502198,0.6298004002395777,0.2666173625278652,0.20824982713615858,0.9044602992148831,1.1833269118203726,1.193587348253238,0.6444510117909228,2.5426729123622636,0.010515879024751484,,nan,nan,nan,nan,0.8182574299276851,0.66,0.3090289370115085,6,6,6,6,6,0,6,6,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,7,0.03,13.648517397926863,0.1711961606355672,nan,0.16109126371026442,0.5548342865041929,0.19086335079137548,0.18954687677870186,0.8927038043064381,1.0825526201419153,1.172086848954289,0.42408708946336404,1.4621304313863208,0.012114648998249322,,nan,nan,nan,nan,0.8283830578483751,0.66,0.3132885338020986,7,7,7,7,7,0,7,7,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,8,0.03,13.61047118022748,0.13314994293618376,nan,0.14162720926622985,0.4981970463490805,0.1592459101287214,0.1786476503410282,0.881984803369815,1.0203708449674846,1.1579376097325633,0.3113650715035793,0.9089068070383959,0.013702579017262906,,nan,nan,nan,nan,0.836061854707319,0.66,0.3164544173503702,8,8,8,8,8,0,8,8,0,0,0,1,False,False,0.03
smoke,L,L_logistic_smoke,FB--GVI,594425521,9,0.03,13.586136680201253,0.10881544290995748,nan,0.12628819198805824,0.45426224772068924,0.14583619549722934,0.1725038461115478,0.8722014901906541,0.9852811949444822,1.1450915321265984,0.2464920428976117,0.6129351571590834,0.01530034898314625,,nan,nan,nan,nan,0.8418801227571916,0.66,0.31881458866128576,9,9,9,9,9,0,9,9,0,0,0,1,False,False,0.03
