tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,0,0.0,1.3338081736345782,0.7775065943936581,nan,2.164698849525087,0.4659072338241878,1.0015342835174892,0.5,0.5,0.12634851757508656,0.5103021254715906,0.611531724319331,2.1566389868184306,0.000453690008725971,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,1,0.02,1.292989819146551,0.7366882399056309,nan,2.087068642361861,0.4566140219596104,0.9855475847370405,0.517339500494874,0.5335371494568779,0.13481725494922553,0.5280223951844529,0.5923901035863779,1.972257810006123,0.002403190010227263,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,1,1,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,2,0.02,1.2555513010070292,0.6992497217661091,nan,2.014032452378593,0.4476187026778106,0.9701211056075257,0.5339473686247355,0.5667336561808466,0.14319915895656463,0.5449974963448772,0.5739445474041047,1.8109327004170546,0.003976740001235157,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,2,2,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,3,0.02,1.2210855659623352,0.6647839867214151,nan,1.945160479144782,0.4389101104305894,0.9552251857036582,0.5498554513729221,0.5995890533943329,0.15149412299967763,0.5612598353256201,0.5561791439985119,1.6687919839758252,0.005510299990419298,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,3,3,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,4,0.02,1.1892512474700578,0.6329496682291378,nan,1.8800807700989421,0.43047760398597784,0.9408316383118477,0.5650943741086952,0.6321037887909895,0.1597022732913947,0.5768405712536875,0.5390756269651545,1.5427795910430244,0.00704598001902923,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,4,4,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,5,0.02,1.159759366739526,0.603457787498606,nan,1.8184689691979088,0.4223110337573388,0.9269137413066754,0.5796935375797109,0.664279014034244,0.16782391547362438,0.591769613863092,0.5226140919503378,1.430450181496786,0.0085698600159958,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,5,5,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,6,0.02,1.1323632488010813,0.5760616695601612,nan,1.7600403025265037,0.4144007112000539,0.9134462094529797,0.5936811293934751,0.6961164263127062,0.1758594943901685,0.6060756359690502,0.5067735600370735,1.3298234066005552,0.010156909993384033,,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,6,6,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,7,0.02,1.1068507588061451,0.5505491795652251,nan,1.7045432277156767,0.4067373802695124,0.9004051540459125,0.6070841458086025,0.7276181474262189,0.18380956335020604,0.6197860963170045,0.4915324195596791,1.2392782138925886,0.011671099986415356,,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,7,7,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,8,0.02,1.0830382428706282,0.5267366636297082,nan,1.6517543407690083,0.39931219088225517,0.8877680341092706,0.619928420753086,0.7587866303987203,0.19167476035872777,0.6329272696792652,0.4768687712584888,1.157474861798112,0.013205059978645295,,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,8,8,0,0,0,1,False,False,0.04
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,9,0.02,1.0607657412353628,0.5044641619944428,nan,1.601474246863804,0.3921166742912079,0.8755136021984314,0.6322386597831193,0.7896245865906044,0.19945578954028909,0.6455242818839191,0.4627606964335665,1.0832964850642837,0.014722630032338202,,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,9,9,0,0,0,1,False,False,0.04
