tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,source_file
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,0,0.0,-4.597861727667885,0.8570488910497096,0.8570488910497096,919.159781881506,0.9019423484902004,1.2979984591672509,1.0295893135830227,13106.196282721994,0.27999999999999353,2.0800000000002496,1.9143799999999558,0.11225352194032678,0.0006015599938109517,,0.0,0.0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,1,0.05,-4.603340025475194,0.8515705932425431,0.8515705932425431,918.9851607828741,0.9002419815698787,1.2873108277562189,1.0242615194346711,13106.106240731515,0.2805539374750099,2.0675048091263357,1.8890648862446446,0.10247647161695156,0.0012518000439740717,,0.4103506560087333,0.04866957777709996,nan,nan,nan,nan,nan,1,1,1,1,1,0,1,1,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,2,0.05,-4.608343964545142,0.8465666541726002,0.8465666541726002,918.8116253110168,0.8986753237999069,1.2776712994778312,1.019451419860248,13106.016709592284,0.2810935821817423,2.0562279436792013,1.8663436205631636,0.09372099557078947,0.0016853900160640478,,0.9831350010986032,0.09454037994292257,nan,nan,nan,nan,nan,2,2,2,2,2,0,2,2,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,3,0.05,-4.612922983330584,0.8419876353873874,0.8419876353873874,918.6390832126435,0.8972293948111314,1.2689710781426011,1.0151086653429935,13105.92764180764,0.281620079322901,2.046048663485216,1.845923897576656,0.08587701385840259,0.002106269996147603,,1.5122064277074738,0.1373443689342505,nan,nan,nan,nan,nan,3,3,3,3,3,0,3,3,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,4,0.05,-4.6171212115413605,0.8377894071763273,0.8377894071763273,918.4674518666338,0.8958924475065805,1.2611128801618117,1.0111878119723845,13105.838994626512,0.28213450726759703,2.036858096481224,1.8275488024693245,0.07884677010426507,0.002506390039343387,,1.7356388966314817,0.17690444171965014,nan,nan,nan,nan,nan,4,4,4,4,4,0,4,4,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,5,0.05,-4.620978061983081,0.8339325567346754,0.8339325567346754,918.2966571681347,0.8946538560975783,1.2540096926646966,1.0076478420046882,13105.750729568936,0.2826378763507497,2.0285580874395093,1.8109921159285478,0.07254338973613839,0.002899390005040914,,1.741227292189191,0.2131316003881351,nan,nan,nan,nan,nan,5,5,5,5,5,0,5,5,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,6,0.05,-4.624528753405148,0.830381865312789,0.830381865312789,918.1266327106146,0.8935040133412812,1.2475836664096809,1.0044517315068597,13105.662811999027,0.2831311289511387,2.02106015659419,1.7960543062574281,0.06688961327175544,0.003296610026154667,,1.6823762098535113,0.24601717810199203,nan,nan,nan,nan,nan,6,6,6,6,6,0,6,6,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,7,0.05,-4.627804772733383,0.8271058459846045,0.8271058459846045,917.9573188374059,0.8924342364044295,1.2417651294045369,1.0015660604033905,13105.575210740746,0.2836151405843951,2.0142845577030752,1.7825590988570257,0.06181668325316993,0.003681600035633892,,1.6182536814161879,0.2756218241082289,nan,nan,nan,nan,nan,7,7,7,7,7,0,7,7,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,8,0.05,-4.6308342840245835,0.8240763346930096,0.8240763346930096,917.7886620847269,0.8914366807779484,1.2364917083991656,0.9989606607919372,13105.487897731928,0.28409072177991773,2.0081594261513107,1.7703505320310784,0.05726336588525309,0.004075839999131858,,1.5628760761821847,0.30206277698931594,nan,nan,nan,nan,nan,8,8,8,8,8,0,8,8,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
smoke,B,B_affine_equivariance_smoke,FB--GVI,475586365,9,0.05,-4.633642490577028,0.8212681281408054,0.8212681281408054,917.6206143754628,0.8905042616759636,1.231707546607074,0.9966082997207724,13105.400847713023,0.2845586205441867,2.0026200086247172,1.7592904234631872,0.05317509066461258,0.00445618003141135,,1.5175953774827142,0.32550071285928706,nan,nan,nan,nan,nan,9,9,9,9,9,0,9,9,0,0,0,1,False,False,0.05,results/raw/smoke/B/B_affine_equivariance_smoke/fb-gvi_seed0.csv
