tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,source_file
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,0,0.0,1.3181471805599454,0.3181471805599453,0.3181471805599453,0.25,0.0,0.75,0.25,1.0,0.25,1.0,0.28125,2.25,0.00041903002420440316,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,1,0.25,1.0867038702202483,0.08670387022024834,0.08670387022024834,0.0775621196161882,0.0,0.4794374122191204,0.5205625877808796,1.0,0.5205625877808796,1.0,0.11493011611768339,0.4415611832868055,0.0010290900245308876,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,1,1,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,2,0.25,1.0274793098332387,0.02747930983323879,0.02747930983323879,0.02589749222254567,0.0,0.29595646361796124,0.7040435363820388,1.0,0.7040435363820388,1.0,0.04379511417862478,0.12441024429733553,0.0013671700144186616,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,2,2,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,3,0.25,1.0092490856401082,0.009249085640108082,0.009249085640108082,0.008945417170529879,0.0,0.18021501389822936,0.8197849861017706,1.0,0.8197849861017706,1.0,0.01623872561716952,0.03961703591178877,0.0016788599896244705,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,3,3,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,4,0.25,1.0032065445263583,0.003206544526358261,0.003206544526358261,0.0031451597909382123,0.0,0.10901828863925422,0.8909817113607458,1.0,0.8909817113607458,1.0,0.0059424936289158735,0.013339204504748478,0.00199479004368186,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,4,4,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,5,0.25,1.0011295203940869,0.001129520394086779,0.001129520394086779,0.001116760083262669,0.0,0.06571916089528451,0.9342808391047155,1.0,0.9342808391047155,1.0,0.0021595040543901465,0.00462281567597923,0.002296940016094595,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,5,5,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,6,0.25,1.0004014716147651,0.0004014716147651004,0.0004014716147651004,0.00039877676944777285,0.0,0.03954001487215608,0.9604599851278439,1.0,0.9604599851278439,1.0,0.0007817063880451577,0.0016277750247785962,0.002596830017864704,,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,6,6,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,7,0.25,1.0001434418458868,0.00014344184588672114,0.00014344184588672114,0.00014286747559144608,0.0,0.023762569194042182,0.9762374308059578,1.0,0.9762374308059578,1.0,0.0002823298473508213,0.0005784040612286923,0.0029060300439596176,,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,7,7,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,8,0.25,1.0000514073020645,5.140730206460321e-05,5.140730206460321e-05,5.128422019229362e-05,0.0,0.014271316129216505,0.9857286838707835,1.0,0.9857286838707835,1.0,0.00010183523203001917,0.0002066191918655104,0.0031974000157788396,,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,8,8,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,9,0.25,1.000018456979408,1.8456979407992236e-05,1.8456979407992236e-05,1.843051964089959e-05,0.0,0.008567725696224437,0.9914322743037756,1.0,0.9914322743037756,1.0,3.6702961802873214e-05,7.404028041884581e-05,0.0034940700279548764,,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,9,9,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,10,0.25,1.0000066338410738,6.6338410738709525e-06,6.6338410738709525e-06,6.628141978382018e-06,0.0,0.0051424074874236725,0.9948575925125763,1.0,0.9948575925125763,1.0,1.3222177383356094e-05,2.658104533325526e-05,0.0037921100156381726,,nan,nan,nan,nan,nan,nan,nan,10,10,10,10,10,0,10,10,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,11,0.25,1.0000023858845317,2.3858845316455587e-06,2.3858845316455587e-06,2.3846556203022118e-06,0.0,0.003086081384509054,0.996913918615491,1.0,0.996913918615491,1.0,4.76194915590666e-06,9.553380822528207e-06,0.004080320009961724,,nan,nan,nan,nan,nan,nan,nan,11,11,11,11,11,0,11,11,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,12,0.25,1.0000008584228852,8.584228851883039e-07,8.584228851883039e-07,8.58157710892371e-07,0.0,0.0018518778849994089,0.9981481221150006,1.0,0.9981481221150006,1.0,1.7147258504747364e-06,3.4358144096712023e-06,0.004366220033261925,,nan,nan,nan,nan,nan,nan,nan,12,12,12,12,12,0,12,12,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,13,0.25,1.0000003089253142,3.0892531406795983e-07,3.0892531406795983e-07,3.0886807156349505e-07,0.0,0.0011112091416254355,0.9988887908583746,1.0,0.9988887908583746,1.0,6.17392878216092e-07,1.2361593880447504e-06,0.004649310023523867,,nan,nan,nan,nan,nan,nan,nan,13,13,13,13,13,0,13,13,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,14,0.25,1.0000001111900318,1.1119003196923168e-07,1.1119003196923168e-07,1.1117767195756301e-07,0.0,0.0006667551422440132,0.999333244857756,1.0,0.999333244857756,1.0,2.2228120985434313e-07,4.448590317554913e-07,0.004943170002661645,,nan,nan,nan,nan,nan,nan,nan,14,14,14,14,14,0,14,14,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,15,0.25,1.000000040023428,4.0023427924510205e-08,4.0023427924510205e-08,4.00207587070156e-08,0.0,0.000400063759684377,0.9995999362403156,1.0,0.9995999362403156,1.0,8.002550590635507e-08,1.6011506804894e-07,0.00522961001843214,,nan,nan,nan,nan,nan,nan,nan,15,15,15,15,15,0,15,15,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,16,0.25,1.0000000144073578,1.4407357840402085e-08,1.4407357840402085e-08,1.4406781323472728e-08,0.0,0.00024004209808015098,0.9997599579019198,1.0,0.9997599579019198,1.0,2.881010442533376e-08,5.76340434474741e-08,0.005521329992916435,,nan,nan,nan,nan,nan,nan,nan,16,16,16,16,16,0,16,16,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,17,0.25,1.0000000051864164,5.186416392546651e-09,5.186416392546651e-09,5.186291840431068e-09,0.0,0.00014402664195878323,0.9998559733580412,1.0,0.9998559733580412,1.0,1.0371836796961768e-08,2.0746661665951264e-08,0.005816530028823763,,nan,nan,nan,nan,nan,nan,nan,17,17,17,17,17,0,17,17,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,18,0.25,1.0000000018670596,1.8670597005766907e-09,1.8670597005766907e-09,1.8670327506242756e-09,0.0,8.641648307228245e-05,0.9999135835169277,1.0,0.9999135835169277,1.0,3.733904273281445e-09,7.468453944090576e-09,0.006101370032411069,,nan,nan,nan,nan,nan,nan,nan,18,18,18,18,18,0,18,18,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
